Nom,Isin,Symbole,Marche,Mic
NSC_GROUPE,FR0000064529,ALNSC,Alternext_Paris,ALXP
NSE,FR0004065639,ALNSE,Alternext_Paris,ALXP
O2I,FR0010231860,ALODI,Alternext_Paris,ALXP
O2I_BSAAR_2019,FR0011928407,ODIBS,Alternext_Paris,ALXP
OBER,FR0010330613,ALOBR,Alternext_Paris,ALXP
OCEASOFT,FR0012407096,ALOCA,Alternext_Paris,ALXP
ONCODESIGN,FR0011766229,ALONC,Alternext_Paris,ALXP
OSMOZIS,FR0013231180,ALOSM,Alternext_Paris,ALXP
OSPREYFRANK,GB00B2R1Q018,ALOSP,Alternext_Paris,ALXP
PHARNEXT,FR0011191287,ALPHA,Alternext_Paris,ALXP
PISCINES_DESJOYAUX,FR0000061608,ALPDX,Alternext_Paris,ALXP
PLANET.FR,FR0010211037,ALPLA,Alternext_Paris,ALXP
PLANT_ADVANCED,FR0010785790,ALPAT,Alternext_Paris,ALXP
PLANT_ADVANCED_BS,FR0011844067,PATBS,Alternext_Paris,ALXP
POUJOULAT,FR0000066441,ALPJT,Alternext_Paris,ALXP
POULAILLON,FR0013015583,ALPOU,Alternext_Paris,ALXP
PRIMECITY,CY0104972217,ALPCI,Alternext_Paris,ALXP
PRISMAFLEX_INTL,FR0004044600,ALPRI,Alternext_Paris,ALXP
PRODWARE,FR0010313486,ALPRO,Alternext_Paris,ALXP
QUANGENBS15SEP2018,FR0013134384,QGCBS,Alternext_Paris,ALXP
QUANTUM_GENOMICS,FR0011648971,ALQGC,Alternext_Paris,ALXP
REALITES,FR0011858190,ALREA,Alternext_Paris,ALXP
REWORLD_MEDIA,FR0010820274,ALREW,Alternext_Paris,ALXP
ROCTOOL,FR0010523167,ALROC,Alternext_Paris,ALXP
ROUGIER_S.A.,FR0000037640,ALRGR,Alternext_Paris,ALXP
SAFWOOD,IT0004013725,ALWOO,Alternext_Paris,ALXP
SAPMER,FR0010776617,ALMER,Alternext_Paris,ALXP
SENSORION,FR0012596468,ALSEN,Alternext_Paris,ALXP
SERMA_TECHNOLOGIES,FR0000073728,ALSER,Alternext_Paris,ALXP
SI_PARTICIPATIONS,FR0000061582,ALSIP,Alternext_Paris,ALXP
SIDETRADE,FR0010202606,ALBFR,Alternext_Paris,ALXP
SOLUTIONS_30_SE,FR0013188844,ALS30,Alternext_Paris,ALXP
SPINEGUARD,FR0011464452,ALSGD,Alternext_Paris,ALXP
SPINEWAY,FR0011398874,ALSPW,Alternext_Paris,ALXP
SPOREVER,FR0010213215,ALSPO,Alternext_Paris,ALXP
STRADIM_ESPAC.FIN,FR0000074775,ALSAS,Alternext_Paris,ALXP
STREAMWIDE,FR0010528059,ALSTW,Alternext_Paris,ALXP
STREAMWIDE_BS,FR0012790756,STWDS,Alternext_Paris,ALXP
TECHNOFIRST,FR0011651819,ALFST,Alternext_Paris,ALXP
THERACLION,FR0010120402,ALTHE,Alternext_Paris,ALXP
THERADIAG,FR0004197747,ALTER,Alternext_Paris,ALXP
TOOLUX_SANDING,LU0394945660,ALTLX,Alternext_Paris,ALXP
TRAQUEUR,FR0004043487,ALTRA,Alternext_Paris,ALXP
TRILOGIQ,FR0010397901,ALTRI,Alternext_Paris,ALXP
TRONICS,FR0004175099,ALTRO,Alternext_Paris,ALXP
TTI,FR0010383877,ALTTI,Alternext_Paris,ALXP
TUTO4PC.COM_GROUP,FR0011068766,ALTUT,Alternext_Paris,ALXP
